DateOfDataEntry,Square,Member,SubMember,ToolNumber,RawMaterial,OtherRaw MaterialID,CoreTypology,OverallCortexArea,CortexType,CoreArtifactClass,EvidenceBipolar,NumberCoreFaces,WhichIsPlatform,CoreBlankSphericity,IntendedProduct,CoreSubTypology,ConardUnifiedType,BipolarChronology,DegreeOfKnappingAlongCircumference,OverallScarCount,LengthLongestFlakeScar,MaxLength,MaxWidth,MaxThickness,Mass,OtherNotes,Photograph,FeatureName
21/07/2023,O14,CL,CL3,857,CrystalQuartz,,Core>2flakescars,11-40%,Outcrop,CompCore,Yes,Four,One,SphericalOrCubic,BladeBladelet,Bladeletcore,Platform,NoFH,180-270,6,7.95,12.45,10.99,8.57,1.28,,Yes,
21/07/2023,P13,CL,CL4,861,CrystalQuartz,,Core>2flakescars,1-10%,Outcrop,CompCore,Yes,Four,None,NotSphericalFlat,BladeBladelet,FlatBladeletCore,Parallel,NoFH,180-270,4,6.75,7.7,7.12,3.86,0.23,,Yes,GGG
21/07/2023,P13,CL,CL4,864,CrystalQuartz,,Core>2flakescars,0%,,CompCore,Yes,Three,None,NotSphericalFlat,BladeBladelet,FlatBladeletCore,Bipolar,NoFH,270-360,3,7.42,8.67,3.9,3.28,0.1,,Yes,N/A
21/07/2023,P13,CL,CL4,865,CrystalQuartz,,Chunks<2flakescars,0%,,,No,,,,Flake,,,NoFH,,2,4.57,8.68,5.05,4.65,0.27,,No,N/A
21/07/2023,P13,CL,CL4,867,CrystalQuartz,,Core>2flakescars,0%,,CompCore,Yes,Four,None,SphericalOrCubic,Flake,RiceGrainCore,Inclined,NoFH,270-360,4,4.06,6.48,4.1,3.23,0.08,"rice grain core, flake scars all <5mm",Yes,YP
21/07/2023,P13,CL,CL2,873,CrystalQuartz,,Core>2flakescars,0%,,CompCore,Yes,Four,None,NotSphericalFlat,BladeBladelet,RiceGrainCore,Parallel,NoFH,270-360,4,9.32,9.57,5.06,2.94,0.15,,Yes,N/A
21/07/2023,P13,CL,CL2,875,CrystalQuartz,,Core>2flakescars,11-40%,Cobble,CompCore,Yes,Two,None,Flake,BladeBladelet,FlatBladeletCore,Parallel,NoFH,270-360,4,8.52,8.87,6.97,3.53,0.2,core-on-flake,Yes,N/A
21/07/2023,P13,CL,CL2,876,CrystalQuartz,,Core>2flakescars,0%,,CoreFrag,Yes,Two,None,SphericalOrCubic,BladeBladelet,Bladeletcore,Bipolar,NoFH,270-360,3,5.44,8.16,5.47,3.36,0.15,,No,N/A
24/07/2023,P13,CL,CL2,879,CrystalQuartz,,Core>2flakescars,0%,,CompCore,Yes,Four,None,NotSphericalFlat,BladeBladelet,FlatBladeletCore,Parallel,NoFH,270-360,5,6.14,11.82,4.45,3.07,0.16,,Yes,AF4
24/07/2023,P13,CL,CL2,882,CrystalQuartz,,Core>2flakescars,0%,,CompCore,Yes,Two,None,NotSphericalFlat,BladeBladelet,FlatBladeletCore,Parallel,NoFH,270-360,3,8.08,8.48,6.57,1.71,0.12,,No,AF4
24/07/2023,P13,CL,CL2,883,CrystalQuartz,,Core>2flakescars,0%,,CompCore,Yes,Two,None,NotSphericalFlat,BladeBladelet,FlatBladeletCore,Parallel,NoFH,270-360,4,9.61,9.86,7.74,3.06,0.25,,Yes,AF4
24/07/2023,P13,CL,CL2,885,CrystalQuartz,,Core>2flakescars,0%,,CompCore,Yes,Three,None,SphericalOrCubic,Flake,RiceGrainCore,Bipolar,NoFH,270-360,3,6.41,7.05,4.36,2.91,0.09,,Yes,AF4
24/07/2023,P13,CL,CL2,886,CrystalQuartz,,Core>2flakescars,0%,,CompCore,Yes,Four,None,NotSphericalFlat,Flake,CoreReducedPiece,Inclined,NoFH,180-270,3,7.05,8.47,4.11,3.02,0.15,,No,AF4
24/07/2023,P13,CL,CL1,888,CrystalQuartz,,Core>2flakescars,0%,,CompCore,Yes,Three,None,NotSphericalFlat,BladeBladelet,FlatBladeletCore,Parallel,NoFH,270-360,4,7.43,8.34,3.51,3.25,0.12,,No,N/A
24/07/2023,P13,CL,CL1,889,CrystalQuartz,,Core>2flakescars,0%,,CompCore,Yes,Four,None,SphericalOrCubic,BladeBladelet,Bladeletcore,Inclined,NoFH,270-360,5,8.06,8.06,4.03,4.65,0.18,,Yes,N/A
24/07/2023,P13,CL,CL1,890,CrystalQuartz,,Core>2flakescars,0%,,CompCore,Yes,Four,One,SphericalOrCubic,BladeBladelet,Bladeletcore,Platform,NoFH,270-360,5,9.68,9.94,5.65,4.17,0.37,,Yes,N/A
24/07/2023,P13,CL,CL3,892,CrystalQuartz,,Core>2flakescars,41-60%,Outcrop,CompCore,Yes,Four,None,SphericalOrCubic,Flake,Irregularcore,Bipolar,NoFH,270-360,3,8.96,20.36,11.19,7.91,2.26,only flaked on one face,No,MOT.ASH
24/07/2023,P13,CL,CL3,898,CrystalQuartz,,Core>2flakescars,0%,,CoreFrag,Yes,Two,None,NotSphericalFlat,Flake,Irregularcore,Parallel,NoFH,180-270,2,6.23,9.38,5.11,1.81,0.14,,No,N/A
24/07/2023,P13,CL,CL3,899,CrystalQuartz,,Core>2flakescars,0%,,CompCore,Yes,Four,One,SphericalOrCubic,BladeBladelet,Bladeletcore,Bipolar,NoFH,270-360,4,7.18,7.21,5.37,4.99,0.23,,Yes,N/A
24/07/2023,P13,CL,CL3,900,CrystalQuartz,,Core>2flakescars,0%,,CompCore,Yes,Two,None,NotSphericalFlat,BladeBladelet,FlatBladeletCore,Parallel,NoFH,270-360,3,8.42,8.42,5.1,3.2,0.12,,Yes,N/A
24/07/2023,P13,CL,CL3,903,CrystalQuartz,,Core>2flakescars,0%,,CompCore,Yes,Four,None,NotSphericalFlat,BladeBladelet,FlatBladeletCore,Bipolar,NoFH,180-270,3,11.66,11.66,4.69,3.71,0.22,,No,N/A
24/07/2023,P13,CL,CL3,904,CrystalQuartz,,Core>2flakescars,11-40%,Cobble,CompCore,Yes,Three,None,SphericalOrCubic,BladeBladelet,Bladeletcore,Platform,NoFH,180-270,3,10.76,11.14,5.38,5.06,0.31,,No,N/A
25/07/2023,O14,CL,CL2,917,CrystalQuartz,,Core>2flakescars,41-60%,Outcrop,CompCore,Yes,Two,None,NotSphericalFlat,BladeBladelet,FlatBladeletCore,Inclined,NoFH,90-180,3,13.08,13.49,7.31,3.75,0.41,,Yes,N/A
25/07/2023,O14,CL,CL2,918,CrystalQuartz,,Core>2flakescars,0%,,CompCore,Yes,Three,None,NotSphericalFlat,BladeBladelet,FlatBladeletCore,Parallel,NoFH,270-360,3,10.5,11.6,4.73,2.93,0.18,,No,N/A
25/07/2023,O14,CL,CL3,924,CrystalQuartz,,Core>2flakescars,11-40%,Outcrop,CompCore,Yes,Three,None,NotSphericalFlat,Flake,Irregularcore,Bipolar,NoFH,180-270,3,7.32,15.88,7.68,5.76,1.21,,No,AF21
26/07/2023,O14,CL,CL3,927,CrystalQuartz,,Core>2flakescars,0%,,CompCore,Yes,MoreThanFour,None,SphericalOrCubic,BladeBladelet,Bladeletcore,Bipolar,NoFH,270-360,3,8.02,8.02,6.37,5.97,0.35,,No,Mousel
26/07/2023,O14,CL,CL3,928,CrystalQuartz,,Core>2flakescars,0%,,CompCore,Yes,Three,None,SphericalOrCubic,BladeBladelet,Bladeletcore,Platform,NoFH,180-270,3,9.25,9.91,4.24,2.91,0.11,,No,BG
26/07/2023,O14,CL,CL3,929,CrystalQuartz,,Core>2flakescars,0%,,CompCore,Yes,Four,None,NotSphericalFlat,BladeBladelet,FlatBladeletCore,Bipolar,NoFH,180-270,4,7.91,7.91,4.2,3.97,0.17,,No,BG
26/07/2023,O14,CL,CL3,930,CrystalQuartz,,Core>2flakescars,0%,,CompCore,Yes,Three,None,SphericalOrCubic,Flake,Irregularcore,Bipolar,NoFH,270-360,3,6.57,9.68,6.12,4.58,0.22,,No,BG
26/07/2023,O14,CL,CL3,934,CrystalQuartz,,Core>2flakescars,0%,,CompCore,Yes,Two,None,SphericalOrCubic,Flake,Irregularcore,Bipolar,NoFH,270-360,5,5.08,10.16,6.25,4.51,0.24,,No,Mousehole
26/07/2023,O14,CL,CL3,935,CrystalQuartz,,Core>2flakescars,11-40%,Outcrop,CompCore,Yes,Two,None,NotSphericalFlat,Flake,Irregularcore,Bipolar,NoFH,90-180,3,7.62,11.4,7.23,4.96,0.4,,No,Mousehole
24/07/2023,P13,CL,CL2,881,FineChert,,Core>2flakescars,11-40%,Cobble,CompCore,Yes,Three,None,SphericalOrCubic,Flake,Irregularcore,Bipolar,NoFH,180-270,3,10.83,12.71,7.53,6.01,0.62,,Yes,AF4
24/07/2023,P13,CL,CL2,887,FineChert,,Core>2flakescars,0%,,CompCore,Yes,Two,None,SphericalOrCubic,BladeBladelet,Bladeletcore,Bipolar,NoFH,180-270,3,7.77,7.77,6.82,2.66,0.16,,Yes,AF4
25/07/2023,O14,CL,CL2,916,FineChert,,Core>2flakescars,1-10%,Cobble,CoreFrag,Yes,Four,One,NotSphericalFlat,BladeBladelet,FlatBladeletCore,Parallel,NoFH,180-270,3,20.22,20.22,9.51,6.68,1.79,,Yes,N/A
26/07/2023,O14,CL,CL3,937,FineChert,,Core>2flakescars,11-40%,Cobble,CompCore,Yes,MoreThanFour,One,SphericalOrCubic,Flake,Irregularcore,Platform,NoFH,90-180,4,17.43,20.74,10.63,13.41,2.78,,Yes,Mousehole
26/07/2023,O14,CL,CL3,925,HeterogenousChert,,Core>2flakescars,0%,,CompCore,Yes,Four,One,SphericalOrCubic,Flake,Irregularcore,Platform,NoFH,180-270,3,23.61,24.88,19.82,14.27,7.63,,Yes,AF9 U
21/07/2023,P13,CL,CL4,862,VeinQuartz,,Core>2flakescars,1-10%,Outcrop,CompCore,Yes,Four,Four,NotSphericalFlat,BladeBladelet,FlatBladeletCore,Bipolar,NoFH,180-270,3,12.37,13.62,7.35,4.51,0.61,,Yes,GGG
21/07/2023,P13,CL,CL4,863,VeinQuartz,,Core>2flakescars,0%,,CompCore,Yes,Three,None,SphericalOrCubic,BladeBladelet,FlatBladeletCore,Inclined,NoFH,270-360,4,14.66,14.69,5.42,4.21,0.45,,Yes,GGG
21/07/2023,P13,CL,CL2,872,VeinQuartz,,Core>2flakescars,0%,,CompCore,Yes,MoreThanFour,None,SphericalOrCubic,BladeBladelet,Bladeletcore,Bipolar,NoFH,180-270,6,13.58,19.88,13.85,10.96,5.51,,Yes,N/A
24/07/2023,P13,CL,CL3,893,VeinQuartz,,Core>2flakescars,0%,,CompCore,Yes,Four,None,SphericalOrCubic,Flake,Radialcore,Bipolar,NoFH,270-360,4,14.44,14.48,7.47,8.56,1.22,,No,MOT.ASH
24/07/2023,P13,CL,CL3,894,VeinQuartz,,Core>2flakescars,0%,,CompCore,Yes,Three,None,NotSphericalFlat,BladeBladelet,FlatBladeletCore,Bipolar,NoFH,270-360,2,13.25,13.25,6.31,4.55,0.37,,No,MOT.ASH
24/07/2023,P13,CL,CL3,895,VeinQuartz,,Core>2flakescars,0%,,CoreFrag,Yes,Four,None,NotSphericalFlat,BladeBladelet,FlatBladeletCore,Bipolar,NoFH,180-270,3,14.58,15.51,8.1,6.99,1.01,,No,MOT.ASH
24/07/2023,P13,CL,CL3,896,VeinQuartz,,Core>2flakescars,0%,,CompCore,Yes,Four,None,NotSphericalFlat,Flake,CoreReducedPiece,Bipolar,NoFH,180-270,5,10.48,13.53,8.68,5.36,0.79,recycled bipolar core,Yes,MOT.ASH
24/07/2023,P13,CL,CL3,906,VeinQuartz,,Core>2flakescars,1-10%,Cobble,CoreFrag,Yes,Four,None,SphericalOrCubic,Flake,Irregularcore,Bipolar,NoFH,90-180,3,17.44,19.28,8.6,9.82,2.63,,No,AF5
25/07/2023,O14,CL,CL2,913,VeinQuartz,,Core>2flakescars,0%,,CompCore,Yes,Four,One,SphericalOrCubic,Flake,Irregularcore,Bipolar,NoFH,180-270,4,26.78,26.79,11.85,15.66,4.28,,No,N/A
25/07/2023,O14,CL,CL2,915,VeinQuartz,,Core>2flakescars,0%,,CompCore,Yes,MoreThanFour,None,SphericalOrCubic,Flake,Irregularcore,Bipolar,NoFH,180-270,4,26.57,36.06,30.11,23.71,29.94,,Yes,N/A
25/07/2023,O14,CL,CL3,923,VeinQuartz,,Core>2flakescars,1-10%,Outcrop,CompCore,Yes,Two,None,SphericalOrCubic,Flake,Irregularcore,Bipolar,NoFH,90-180,4,8.91,17.04,6.52,7.01,0.93,,No,AF21
26/07/2023,O14,CL,CL3,936,VeinQuartz,,Core>2flakescars,1-10%,Outcrop,CompCore,Yes,Four,One,SphericalOrCubic,Flake,Irregularcore,Bipolar,NoFH,270-360,5,19.74,25.11,20.34,19.19,9.93,,Yes,Mousehole
26/07/2023,O14,CL,CL3,938,VeinQuartz,,Core>2flakescars,0%,,CompCore,Yes,Four,None,SphericalOrCubic,Flake,Irregularcore,Bipolar,NoFH,180-270,3,12.33,19.72,16.13,15.75,5.36,,No,MA
26/07/2023,O14,CL,CL3,942,VeinQuartz,,Core>2flakescars,0%,,CompCore,Yes,MoreThanFour,One,SphericalOrCubic,BladeBladelet,FlatBladeletCore,Platform,NoFH,270-360,4,16.69,16.71,7.69,7.93,1.06,,Yes,MA
26/07/2023,O14,CL,CL3,946,VeinQuartz,,Core>2flakescars,0%,,CompCore,Yes,MoreThanFour,None,SphericalOrCubic,Flake,Irregularcore,Bipolar,NoFH,270-360,6,19.09,22.74,18.07,17.43,7.12,,Yes,BBG
26/07/2023,O14,CL,CL3,947,VeinQuartz,,Core>2flakescars,0%,,CompCore,Yes,MoreThanFour,One,SphericalOrCubic,Flake,Irregularcore,Bipolar,NoFH,270-360,4,20.82,25.25,12.34,10.56,4.25,,No,BBG
